ensembl,log2FC,gene
ENSG00000260851,-2.503043487,AC010542.3
ENSG00000188263,-2.486378778,IL17REL
ENSG00000113073,-2.382526934,SLC4A9
ENSG00000204421,-2.345587919,LY6G6C
ENSG00000285053,-2.235043671,TBCE
ENSG00000173805,-2.172298263,HAP1
ENSG00000116337,-2.071129312,AMPD2
ENSG00000182871,-2.01169154,COL18A1
ENSG00000197992,-1.9948069,CLEC9A
ENSG00000068976,-1.923667336,PYGM
ENSG00000188897,-1.918640886,AC099489.1
ENSG00000178338,-1.883259275,ZNF354B
ENSG00000244617,-1.816131142,ASPRV1
ENSG00000118298,-1.788244315,CA14
ENSG00000137642,-1.765963539,SORL1
ENSG00000168026,-1.723983141,TTC21A
ENSG00000255393,-1.712305537,OOSP4B
ENSG00000166035,-1.667358714,LIPC
ENSG00000285868,-1.632594728,AC008676.3
ENSG00000167105,-1.630848892,TMEM92
ENSG00000131873,-1.609769199,CHSY1
ENSG00000283787,-1.60015425,PRR33
ENSG00000167676,-1.588799841,PLIN4
ENSG00000143382,-1.577943245,ADAMTSL4
ENSG00000130167,-1.56021794,TSPAN16
ENSG00000133026,-1.55764497,MYH10
ENSG00000111087,-1.544874212,GLI1
ENSG00000107831,-1.541888867,FGF8
ENSG00000142102,-1.538902221,PGGHG
ENSG00000042832,-1.533096699,TG
ENSG00000154997,-1.528458419,SEPTIN14
ENSG00000186642,-1.523256775,PDE2A
ENSG00000172803,-1.513176019,SNX32
ENSG00000177570,-1.506920609,SAMD12
ENSG00000174607,-1.495925299,UGT8
ENSG00000204420,-1.482089341,MPIG6B
ENSG00000172782,-1.466809126,FADS6
ENSG00000127507,-1.453736437,ADGRE2
ENSG00000198765,-1.440903304,SYCP1
ENSG00000185245,-1.435266386,GP1BA
ENSG00000108963,-1.434970031,DPH1
ENSG00000188056,-1.429209511,TREML4
ENSG00000102886,-1.419362311,GDPD3
ENSG00000184611,-1.417180644,KCNH7
ENSG00000008323,-1.415823167,PLEKHG6
ENSG00000005379,-1.415683627,TSPOAP1
ENSG00000075399,-1.413236647,VPS9D1
ENSG00000222009,-1.412060404,BTBD19
ENSG00000163297,-1.406316976,ANTXR2
ENSG00000156886,-1.399514436,ITGAD
ENSG00000064547,-1.383477311,LPAR2
ENSG00000229894,-1.382918261,GK3P
ENSG00000174123,-1.37170399,TLR10
ENSG00000130787,-1.360771825,HIP1R
ENSG00000165682,-1.346914124,CLEC1B
ENSG00000173638,-1.345664897,SLC19A1
ENSG00000139998,-1.342647782,RAB15
ENSG00000147459,-1.328738136,DOCK5
ENSG00000112195,-1.325804104,TREML2
ENSG00000146904,-1.321142108,EPHA1
ENSG00000196150,-1.315241744,ZNF250
ENSG00000176387,-1.302940626,HSD11B2
ENSG00000154529,-1.294830313,CNTNAP3B
ENSG00000048342,-1.275021828,CC2D2A
ENSG00000146592,-1.271562491,CREB5
ENSG00000145819,-1.269470466,ARHGAP26
ENSG00000248483,-1.264185553,POU5F2
ENSG00000129295,-1.246973931,LRRC6
ENSG00000134183,-1.245603598,GNAT2
ENSG00000035664,-1.24319865,DAPK2
ENSG00000100767,-1.224657545,PAPLN
ENSG00000176463,-1.223248793,SLCO3A1
ENSG00000100911,1.201361368,PSME2
ENSG00000166002,1.204104596,SMCO4
ENSG00000008988,1.208374434,RPS20
ENSG00000228474,1.209057889,OST4
ENSG00000182117,1.223711418,NOP10
ENSG00000130303,1.233803534,BST2
ENSG00000126756,1.238715282,UXT
ENSG00000087086,1.24296438,FTL
ENSG00000187840,1.243151302,EIF4EBP1
ENSG00000160932,1.253181688,LY6E
ENSG00000125971,1.255344416,DYNLRB1
ENSG00000134825,1.262268703,TMEM258
ENSG00000108679,1.2639126,LGALS3BP
ENSG00000197958,1.273147849,RPL12
ENSG00000177868,1.277191872,SVBP
ENSG00000147872,1.27818736,PLIN2
ENSG00000112695,1.285712073,COX7A2
ENSG00000002549,1.291233142,LAP3
ENSG00000111678,1.29220038,C12orf57
ENSG00000188243,1.295240851,COMMD6
ENSG00000128524,1.302553876,ATP6V1F
ENSG00000143256,1.315327141,PFDN2
ENSG00000132646,1.324074907,PCNA
ENSG00000100292,1.327425864,HMOX1
ENSG00000108826,1.329488765,MRPL27
ENSG00000177556,1.331746816,ATOX1
ENSG00000180596,1.359333708,H2BC4
ENSG00000147669,1.36549887,POLR2K
ENSG00000116663,1.381214591,FBXO6
ENSG00000156587,1.383376904,UBE2L6
ENSG00000160213,1.388037398,CSTB
ENSG00000168275,1.399131064,COA6
ENSG00000185338,1.405816084,SOCS1
ENSG00000105383,1.427381929,CD33
ENSG00000174600,1.444089643,CMKLR1
ENSG00000185339,1.468802321,TCN2
ENSG00000184357,1.469254966,H1-5
ENSG00000111845,1.493409796,PAK1IP1
ENSG00000143344,1.511058347,RGL1
ENSG00000187479,1.516850025,C11orf96
ENSG00000105374,1.536038921,NKG7
ENSG00000136810,1.560307113,TXN
ENSG00000168899,1.569936188,VAMP5
ENSG00000001561,1.578357248,ENPP4
ENSG00000123975,1.585340076,CKS2
ENSG00000168062,1.593382325,BATF2
ENSG00000013583,1.606528172,HEBP1
ENSG00000172575,1.621767061,RASGRP1
ENSG00000110002,1.623935634,VWA5A
ENSG00000111335,1.640697246,OAS2
ENSG00000275385,1.644891154,CCL18
ENSG00000277075,1.646896873,H2AC8
ENSG00000275379,1.67599598,H3C11
ENSG00000134460,1.726291989,IL2RA
ENSG00000181104,1.756501005,F2R
ENSG00000088827,1.796732968,SIGLEC1
ENSG00000149131,1.797865045,SERPING1
ENSG00000105246,1.805786502,EBI3
ENSG00000109762,1.821232047,SNX25
ENSG00000129538,1.825793658,RNASE1
ENSG00000126709,1.841331177,IFI6
ENSG00000111331,1.869058697,OAS3
ENSG00000278588,2.016465032,H2BC10
ENSG00000089127,2.127040995,OAS1
ENSG00000198851,2.13383913,CD3E
ENSG00000137959,2.14097156,IFI44L
ENSG00000134326,2.189709852,CMPK2
ENSG00000172551,2.266239493,MUCL1
ENSG00000205358,2.319125459,MT1H
ENSG00000163599,2.420217539,CTLA4
ENSG00000282608,2.494313826,ADORA3
ENSG00000134321,2.579453674,RSAD2
ENSG00000133169,2.669847816,BEX1
ENSG00000184979,2.693406997,USP18
ENSG00000125148,2.717119657,MT2A
ENSG00000145649,2.727467376,GZMA
ENSG00000100450,3.110961363,GZMH
ENSG00000089692,3.578443375,LAG3
ENSG00000108700,4.125520243,CCL8
ENSG00000156234,5.528630055,CXCL13
